i>>?    #    ,RAZON SOCIAL,CALLE Y NAMERO,COLONIA,MUNICIPIO,CADIGO POSTAL,ESTADO,No. LICENCIA,FECHA  LICENCIA,CLASIFICACION O GIRO,LINEAS AUTORIZADAS
197,GRUPO INDUSTRIAL FESUR S.A. DE C. V.,KM 17.5 CARR.ANTIGUA COATZACOALCOS- MINATITLAN,CANTICAS,COSOLEACAQUE,,VERACRUZ,96028,,"FABRICA DE FERTILIZANTES, MEJORADORES DE SUELO E INOCULANTES",No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
198,GRUPO LA FLORIDA MEXICO S.A. DE C.V.,CALZADA VALLEJO NO. 1100,PRADO VALLEJO,TLALNEPANTLA DE BAZ,54170,MEXICO,13 NV 15 104 33,16/Mar/2016,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES ORGANICOS SOLIDOS E INOCULANTES LIQUIDOS
199,GRUPO VIL S.A. DE C.V.,JUSTO SIERRA No. 19 (OESTE),LAS VIGAS DE RAMAREZ,LAS VIGAS DE RAMAREZ,91330,VERACRUZ,14NV3013218,14/Oct/2014,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE MEJORADORES DE SUELO ORGANICOS SALIDOS.
200,HAPPY FLOWER MEXICANA S.A. DE C.V.,"ESPAAA NO. 501, INT.""D""",SAN NICOLAS TOLENTINO,IZTAPALAPA,09850,DISTRITO FEDERAL,06FNV090090004,05/Jul/2006,FORMULACION DE NUTRIENTES VEGETALES,FERTILIZANTES LIQUIDOS Y SOLIDOS
201,HEBERTO QUINTANA MERAZ,CALZADA MAXICO No. 426,AVIACIAN,TORREAN,27050,COAHUILA,14NV0503526,01/Dec/2014,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE FERTILIZANTES ORGANICOS LAQUIDOS
202,HOLLAND DE MEXICO S.A. DE C.V.,CALLE 21 ESTE NO. 12,CIVAC,JIUTEPEC,62578,MORELOS,13P1701125,10/Oct/2013,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACION DE INSECTICIDAS E INSECTICIDAS-ACARICIDAS LIQUIDOS Y SOLIDOS
203,HOMECARE DE MEXICO S.A. DE C.V.,AV. SAN SEBASTIAN NO. 100,LOS LERMAS,GUADALUPE,67190,NUEVO LEON,05FP190260003,10/Feb/2005,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE PLAGUICIDAS",FORMULACION DE INSECTICIDAS Y/O ACARICIDAS LIQUIDOS
204,HORTIKEM S.A. DE C.V.,CARRETERA LOS MOCHIS TOPOLOBAMPO Km. 9.5,LOS MOCHIS,AHOME,81200,SINALOA,05FNV250010002,14/Jan/2011,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE NUTRIENTES VEGETALES DE ORIGEN ANIMAL
205,HUMICOS MEXICANOS S.A. DE C.V.,AV. AGUAMILPA No. 404,CD. INDUSTRIAL NAYARITA,TEPIC,63173,NAYARIT,07NV180170004,05/Sep/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FORMULACION DE FERTILIZANTES SOLIDOS Y LIQUDOS
206,"HUMISOL ORGANICO, S.A. DE C.V.",ANGEL FLORES S/N,S/C,NAVOLATO,80374,SINALOA,16NV2501807,22/Mar/2016,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE FERTILIZANTES Y MEJORADORES DE SUELO ORGANICOS SALIDOS Y LAQUIDOS.
207,"HUMUS DE AGUASCALIENTES, S. DE P.R. DE R.L.",TERRACERIA S/N,S/C,RINCON DE ROMOS,20400,AGUASCALIENTES,16NV0100709,13/Apr/2016,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE FERTILIZANTES Y MEJORADORES DE SUELO ORGANICOS SALIDOS Y LAQUIDOS.
208,INDIRA VAZQUEZ GARCIA/AGROSANTAFE DE MORELIA,JACARANDAS No. 3,LOS ANGELES,MORELIA,58100,MICHOACAN,12NV160530011,21/May/2012,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES Y REGULADORES DE CRECIMIENTO SOLIDOS.
209,INDUSTRIA QUIMICA ADMEX S.A. DE C.V.,PLANTA 1 CALZ. LAURELES NO. 170,PLANTA 1 CD. GRANJA,ZAPOPAN,45010,JALISCO,05FNV141200001,01/Feb/2005,FORMULACION DE NUTRIENTES VEGETALES,FORMULACION DE FERTILIZANTES LIQUIDOS
210,INDUSTRIAL QUIMICA/TRINIDAD FONSECA I.,PORVENIR No. 197,NICOLAS TOLENTINO,TLAHUAC,13220,DISTRITO FEDERAL,94082,,"FABRICACION, FORMULACION Y MAQUILA DE AGROQUIMICOS",No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
211,INDUSTRIAS CENFER S.A. DE C.V.,"PERAS, MANZANA 127, LOTE 7",HACIENDA OJO DE AGUA,TECAMAC DE F.V.,,MAXICO,98003,,FABRICA Y/O FORMULADORA DE PLAGUICIDAS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
212,INDUSTRIAS H-24 S.A. DE C.V.,ESFUERZO NACIONAL Y CALLE 8,FRACCIONAMIENTO ALCE BLANCO,NAUCALPAN  DE JUAREZ,,MAXICO,2000006,,MEZCLA DE INSECTICIDAS Y PLAGUICIDAS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
213,"INDUSTRIAS JLC, S.A. DE C.V.",AV. RIO SAN LORENZO No. 268,PARQUE TECNOINDUSTRIAL CASTRO DEL RIO,IRAPUATO,36815,GUANAJUATO,16P1101722,31/Aug/2016,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACIAN DE INSECTICIDAS EN AEROSOL.
214,INGENIERIA INDUSTRIAL S.A. DE C.V.,POTRERILLOS NO. 6,PARQUE INDUSTRIAL NEZAHUALCOYOTL,NEZAHUALCOYOTL,57810,MAXICO,05FP150580008,01/Mar/2005,"FORMULACION, FABRICACION, MEZCLA O ENVASADO DE PLAGUICIDAS Y NUTRIENTES VEGETALES","FORMULACION DE REGULADORES DE CRECIMIENTO, FABRICACION DE FUNGICIDAS, INSECTICIDAS-ACARICIDAS Y BACTERICIDAS SOLIDOS, FORMULACION DE HERBICIDAS Y FUNGICIDAS SOLIDOS, FORMULACION DE ACARICIDAS-INSECTICIDAS, FUNGICIDAS Y HERBICIDAS LIQUIDOS."
215,INGENIERIA INDUSTRIAL S.A. DE C.V.,CARRETERA TECUALTITAN Km. 0.676,SAN MIGUEL ZAPOTITLAN,PONCITLAN,45977,JALISCO,11PNV140660020,08/May/2014,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS) Y FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)","FORMULACION Y ENVASADO DE FUNGICIDAS Y HERBICIDAS QUAMICOS LIQUIDOS Y SOLIDOS, INSECTICIDAS QUAMICOS LIQUIDOS, BACTERICIDAS QUAMICOS SOLIDOS  Y ENVASADO DE REGULADORES DE CRECIMIENTO LAQUIDOS."
216,INNOBIOT S.A. DE C.V.,ACUEDUCTO No. 24,ZACUALA,ZEMPOALA,43838,HIDALGO,14P1308316,17/Sep/2014,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACIAN DE FUNGICIDAS E INSECTICIDAS MICROBIALES LAQUIDOS.
217,INNOPHOS FOSFATADOS DE MEXICO S. DE R.L. DE C.V.,AV. 5 Y 12 COMPLEJO INDUSTRIAL PAJARITOS,,COATZACOALCOS,96380,VERACRUZ,05FNV300390010,24/May/2005,FABRICACION DE NUTRIENTES VEGETALES,FABRICACION DE FERTILIZANTES FOSFATADOS LIQUIDOS Y SOLIDOS
218,INNOVAGRIC DE MEXICO S.A. DE C.V.,FILOMENO MATA 840 OTE,CIUDAD JUAREZ,LERDO,35180,DURANGO,14NV1001222,07/Nov/2014,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FERTILIZANTES Y MEJORADORES DE SUELO LIQUIDOS Y SOLIDOS
219,INSECTICIDAS DEL PACIFICO S.A DE C.V.,CARRETERA INTERNACIONAL KM 540,ZONA INDUSTRIAL NO. 2 CD.OBREGON,CAJEME,85000,SONORA,09PNV260180002,05/Aug/2009,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NJTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE FUNGICIDAS SALIDOS, INSECTICIDAS-ACARICIDAS Y INOCULANTES SOLIDOS Y LIQUIDOS"
220,INSECTICIDAS NACIONALES COREY S.A. DE C.V.,CALLE 2 NO 2263,FERROCARRIL,GUADALAJARA,44440,JALISCO,94068,,"FORMULADORA DE INSECTICIDAS, FUNGICIDAS, HERBICIDAS, FERTILIZANTES FOLIARES, Y ADHERENTES DE USO AGRICOLA",No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
221,INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES AGRICOLAS Y PECUARIAS,Km. 18 CARRETERA TAPACHULA-CACAHUATAN,TUXTLA CHICO,TAPACHULA,30700,CHIAPAS,11NV070890004,13/Dec/2011,"FABRICACION, FORMULACION, MEZCLA Y ENVASADO DE NUTRIENTES VEGETALES",FORMULACION DE INOCULANTES SOLIDOS.
222,INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES AGRICOLAS Y PECUARIAS,Km. 6.5 CARRETERA CELAYA-SAN MIGUEL DE ALLENDE,S/C,CELAYA,38010,GUANAJUATO,12NV110070031,28/Mar/2012,"FABRICACION, FORMULACION, MEZCLA Y ENVASADO DE NUTRIENTES VEGETALES",FORMULACION DE INOCULANTES SOLIDOS.
223,INSUMOS AGRICOLAS DE NAYARIT S.A. DE C.V.,"AV. LAS TORRES, MZ 1, LOTE 2",CIUDAD INDUSTRIAL,TEPIC,63173,NAYARIT,07NV180170005,24/Oct/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FORMULACION DE FERTILIZANTES SOLIDOS
224,INSUMOS GANADEROS Y AGRACOLAS S.A. DE C.V.,INDE No. 725,PARQUE INDUSTRIAL LAGUNERO,GAMEZ PALACIO,35078,DURANGO,15 NV 10 007 09,08/Apr/2015,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLAS FISICAS Y ENVASADO DE FERTILIZANTES QUAMICOS GRANULADOS
225,INTERCONTINENTAL IMPORT EXPORT S.A. DE C.V.,LIBRAMIENTO CARRETERO SUR KM 3.5,PREDIO LA MANGA,SALAMANCA,36881,GUANAJUATO,03FNV110270001,12/Aug/2003,FABRICACION DE NUTRIENTES VEGETALES,"FABRICACION DE ENRAIZADORES A BASE DE ACIDO INDOL-3-BUTIRICO, RADIX 1500, RADIX 3000, RADIX 10000"
226,INTERNACIONAL QUIMICA DE COBRE  S.A DE C.V,ESCORPION S/N LOTE 9,EXHACIENDA DE SAN ISIDRO,CHICOLOAPAN,56560,MAXICO,11PNV150290032,18/May/2012,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FABRICACION DE FUNGICIDAS SOLIDOS, FORMULACION DE INSECTICIDAS SOLIDOS Y FORMULACION DE FERTILIZANTES SOLIDOS Y LIQUIDOS."
227,INTERNACIONAL QUIMICA DE COBRE  S.A DE C.V,ESCORPION S/N LOTE 5,EXHACIENDA DE SAN ISIDRO,SAN VICENTE CHICOLOAPAN,,MAXICO,98001,,FABRICA Y/O FORMULADORA DE PLAGUICIDAS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
228,INTRAKAM  S. A DE C. V,VALLE  DE SALTILLO NO. 486,FRACC. INDUSTRIAL VALLE DE SALTILLO,SALTILLO,25240,COAHUILA,06FPNV050300002,17/Feb/2006,FORMULACION DE PLAGUICIDAS Y NUTRIENTES VEGETALES,FERTLIZANTES Y REGULADORES DE CRECIMIENTO LIQUIDOS Y SOLIDOS Y MEJORADORES DE SUELO Y FUNGICIDAS LIQUIDOS
229,INTRAKAM S.A. DE C.V.,BOULEVARD FUTURA NO. 425,CERRITOS,SALTILLO,25019,COAHUILA,15PNV0503002,21/Jan/2015,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS) Y FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)","INSECTICIDAS, ACARICIDA Y FUNGICIDAS LIQUIDOS Y SOLIDOS.
FORMULACION DE REGULADORES DE CRECIMIENTO, MEJORADORES DE SUELO, FERTILIZANTES LIQUIDOS Y SOLIDOS"
230,ISAOSA S.A. DE C.V.,PERIFERICO ORIENTE No. 753-B,SOLIDARIDAD,TLAQUEPAQUE,45620,JALISCO,06FNV140980003,10/Feb/2006,FORMULACION DE NUTRIENTES VEGETALES,FERTILIZANTES  SOLIDOS
231,ISAOSA S.A. DE C.V.,CARRETERA MANZANILLO-MINATITLAN KM 6.3,JALIPA,MANZANILLO,28876,COLIMA,07NV060070001,15/Oct/2007,"FABRICACION, FORMULACION, MEZCLA  O ENVASADO DE NUTRIENTES VEGETALES",ENVASADO Y MEZCLA DE FERTILIZANTES SOLIDOS
232,ISAOSA S.A. DE C.V.,DOMICILIO CONOCIDO S/N RECINTO PORTUARIO DE TOPOLOBAMPO PATIO DE CONTENEDORES,TOPOLOBAMPO,AHOME,81370,SINALOA,11NV250010022,26/Sep/2011,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES SALIDOS.
233,ISQUISA S.A. DE C.V. / ISQUISA S.A. DE C.V. PLANTA TEJERIA,ACACIAS MANZANA V LOTE 7-B,CIUDAD INDUSTIAL BRUNO PAGLIAI,VERACRUZ,91705,VERACRUZ,05FNV301930013,16/Dec/2005,FORMULACION DE NUTRIENTES VEGETALES,FERTILIZANTES SOLIDOS
234,J. CRISTOBAL REYES ARELLANO,RAMON MARTINEZ No. 46,MANUEL LOPEZ COTILLA,TLAQUEPAQUE,45615,JALISCO,14NV1409801,22/Jan/2014,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE REGULADORES DE CRECIMIENTO Y FERTILIZANTES LAQUIDOS.
235,JACZAN S.P.R. DE R.L. DE C.V.,CARRETERA JIMENEZ-CAMARGO VIA LIBRE KM 11 1/2,AGRICOLA REVOLUCION,JIMENEZ,33980,CHIHUAHUA,13NV0803605,25/Feb/2013,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES LIQUIDOS.
236,JESUS GARZA GONZALEZ,KM. 11.5 CARRETERA SALTILLO-MEXICO,GRANJA SANTA ISABEL,SALTILLO,25350,COAHUILA,06FNV050300001,12/Jan/2006,FORMULACION DE NUTRIENTES VEGETALES,FORMULACION DE FERTILIZANTES MINERALES Y MEJORADORES DE SUELO LIQUIDOS.
237,"JJ HUMUS,  S. A DE C. V",CONSTRUCTORES  S/N,FIDEICOMISO CIUDAD INDUSTRIAL,TEPIC,63173,NAYARIT,06FNV180170002,11/Dec/2014,FORMULACION DE NUTRIENTES VEGETALES,FORMULACION  DE FERTILIZANTES LIQUIDOS Y SOLIDOS
238,JORGE LUIS ORTIZ PERDIGAN,XICOTENCATL NO. 11,COL CENTRO,AMECAMECA,56900,MAXICO,15PNV1500918,42226,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),"FORMULACIAN DE FERTILIZANTES SALIDOS,  FORMULACIAN DE fungicidas LAQUIDOS.FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SALO PLAGUICIDAS)"
239,JOSE CARLOS URREA HUERTA,ANGEL FLORES No. 1096,JIQUILPAN,AHOME,81220,SINALOA,15NV2500120,24/Sep/2015,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),ELABORACIAN DE MEZCLAS FASICAS DE FERTILIZANTES QUAMICOS GRANULADOS.
240,JOSE DEL ROSARIO ESPARZA SOTO,VOLCAN TANCITARO NO. 214,HUENTITAN EL BAJO,GUADALAJARA,44250,JALISCO,07P140390010,09/Mar/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE PLAGUICIDAS",FORMULACION DE FUNGICIDAS LIQUIDOS
241,JOSE HECTOR PALAFOX ZAMORA,AGUSTIN DE ITURBIDE NO. 4,BUENA VISTA PARTE BAJA,TULTITLAN,,MAXICO,02P150002,26/Aug/2002,MEZCLA DE INSECTICIDAS Y PLAGUICIDAS. EXLCUSIVAMENTE PARA PRODUCTOS REGISTRADOS POR EL TITULAR DE LA LICENCIA SANITARIA O PRODUCTOS MAQUILADOS PARA UN TERCERO QUE CUENTE CON REGISTRO DEL PRODUCTO ANTE LA CICOPLAFEST,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
242,JUAN LUIS MORENO DIAZ,16 DE SEPTIEMBRE ENTRONQUE CON CARRETERA ARANDAS,S/C,ATOTONILCO EL ALTO,47750,JALISCO,10PNV140130018,22/Nov/2010,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE FUNGICIDAS, INSECTICIDAS, FERTILIZANTES, MEJORADORES DE SUELO, INOCULANTES, REGULADORES DE CRECIMIENTO LIQUIDOS"
243,JUAN SANCHEZ CRUZ,AV. DEL TRABAJO S/N,COYOTILLOS,APAXCO,55660,MAXICO,14NV150100023,20/Nov/2014,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE FERTILIZANTES Y MEJORADORES DE SUELO SOLIDOS DE ORIGEN ORGANICO-MINERAL
244,KMG DE MEXICO S.A. DE C.V.,SENDERO NACIONAL KM 8.0,LA GLORIA,MATAMOROS,87560,TAMAULIPAS,04FP280220003,16/Dec/2004,FORMULACION DE DE PLAGUICIDAS,"ANSAR 6, BUENO 6, DACONATE, SUPER ARSONATE TECNICO, PENTACLOROFENOL CONCENTRADO 40%, PENTA-FLAKES , PENTACLOROFENOL TECNICO, PENTASODIO"
245,LABORATORIO DE TECNOLOGIA ORGANICA LTO S.A. DE C.V.,AV. LAZARO CARDENAS NO. 87,28 DE OCTUBRE,URUAPAN,60010,MICHOACAN,08PNV161020007,26/Apr/2012,"FABRICACION, FORMULACION, MEZCLA Y ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE FUNGICIDAS, BACTERICIDAS, INSECTICIDAS, ACARICIDAS, INSECTICIDAS-NEMATICIDAS E INOCULANTES SOLIDOS."
246,LABORATORIOS AGROENZYMAS S. A DE C. V.,AV. EJE TRES NTE. No.329 2DA. SECCION,CD. INDUSTRIAL XICOHTENCATL,TETLA,90431,TLAXCALA,07NV290310001,29/Jun/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES","FABRICACION DE REGULADORES DE CRECIMIENTO LIQUIDOS Y SOLIDOS, FORMULACION DE REGULADORES DE CRECIMIENTO, HUMECTANTES, FERTILIZANTES Y MEJORADORES DE SUELO LIQUIDOS Y SOLIDOS"
247,LABORATORIOS FRU Y VEU  S.A DE C.V,CALLE 4 NO. 158,GRANJAS SAN ANTONIO,IZTAPALAPA,09070,DISTRITO FEDERAL,94086,,"ELABORACION, ALMACENAMIENTO, DISTRIBUCION Y VENTA DE PLAGUICIDAS PARA EL USO DEL HOGAR",No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
248,LABORATORIOS QUIVER S.A. DE C.V.,CARRETERA A NAVOLATO No. 6523 BODEGA D8,BACHIGUALATO,CULIACAN,80140,SINALOA,12NV250060024,17/Dec/2012,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES LIQUIDOS Y SOLIDOS.
249,LABORATORIOS TTOKKYO S.A. DE C.V.,CARRETERA YAUTEPEC-TLAYACAPAN NO 85,LAS VIVIANAS,TLAYACAPAN,62540,MORELOS,05FP170260001,15/Feb/2005,"FORMULACION, FABRICACION, MEZCLA O ENVASADO DE PLAGUICIDAS",FORMULACION DE ACARICIDAS LIQUIDOS
250,LABORATORIOS VETERINARIOS HALVET S..A DE C.V.,REDACTORES No. 3570,DEL PERIODISTA,ZAPOPAN,45080,JALISCO,11P141200022,30/Aug/2011,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACION DE INSECTICIDAS E INSECTICIDAS-ACARICIDAS LIQUIDOS.
251,LAPISA S.A. DE C.V,CARRETERA LA PIEDAD CARAPAN KM. 8.5,LOMAS DE NUMARAN,NUMARAN,59793,MICHOACAN,14PNV1606907,07/Nov/2014,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS) Y FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)","FORMULACION DE INSECTICIDAS, INSECTICIDAS-ACARICIDAS, FUNGICIDAS LIQUIDOS Y SOLIDOS
FORMULACION DE FERTILIZANTES SOLIDOS Y LIQUIDOS FORMULACION DE MEZCLAS FISICAS"
252,LAPISA S.A. DE C.V.,KM 5.5 CARRETERA LA PIEDAD-GUADALAJARA,CAMELINAS,LA PIEDAD,59375,MICHOACAN,05FPNV160690001,14/Jul/2016,"FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES) FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)","FORMULACIAN DE ACARICIDAS, BACTERICIDAS, FUNGICIDAS E INSECTICIDAS SALIDOS Y LAQUIDOS, FORMULACIAN DE INOCULANTES SALIDOS Y LAQUIDOS."
253,LETICIA DE PAZ HERNANDEZ,BENJAMIN FRAGOZO S/N,SANTA MARIA HUECATITLA,CUAUTITLAN,54880,MAXICO,07PNV150240019,19/Feb/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS",FORMULACION DE FUNGICIDAS LIQUIDOS Y FERTILIZANTES SOLIDOS Y LIQUIDOS
254,LIDAG S.A. DE C.V.,NIZA No. 3102,NARVARTE,MONTERREY,64830,NUEVO LEON,05FPNV190390005,31/Jul/2012,"FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES) FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)","FORMULACION DE INSECTICIDAS, FUNGICIDAS LIQUIDOS Y SOLIDOS, FORMULACION DE FERTILIZANTES E INOCULANTES LIQUIDOS Y SOLIDOS."
255,LOMBRIORGANIC S. A DE C. V,CALZ. AEROPUERTO NO. 8381,BACHIGUALATO,CULIACAN,80140,SINALOA,05FNV220060006,15/Aug/2005,FORMULACION DE NUTRIENTES VEGETALES,FERTILIZANTES LIQUIDOS
256,LORENA LINARES HERNANDEZ/AGRONITRO,VIADUCTO A JICALAN No. 480,TENENCIA DE JICALAN,URUAPAN,60090,MICHOACAN,12NV161020012,18/Dec/2012,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),ENVASADO DE FERTILIZANTES SOLIDOS.
257,LUIS FERNANDO SAENZ HERNANDEZ,ALVARO OBREGON No. 3,LAZARO CARDENAS,MEOQUI,33131,CHIHUAHUA,10PNV080580008,22/Mar/2010,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE FUNGICIDAS E INSECTICIDAS LIQUIDOS, FERTILIZANTES, REGULADORES DE CRECIMIENTO Y MEJORADORES DE SUELO LIQUIDOS"
258,MA. MARTHA BERRUETA VALLIN / FERTILIZANTES Y FOLIARES DE IRAPUATO,CALZADA DE LA INDUSTRIA No. 661,INDEPENDENCIA,IRAPUATO,36559,GUANAJUATO,16NV1101717,29/Jun/2016,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE FERTILIZANTES ORGANICOS LAQUIDOS.
259,MACROBACTER S.A. DE C.V.,GALEANA No. 503 PONIENTE,ZONA INDUSTRIAL,CAJEME,85000,SONORA,12NV260180007,23/Jun/2016,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE INOCULANTES LIQUIDOS.
260,MAGNELEC S.A. DE C.V.,DOMICILIO CONOCIDO,INDUSTRIAL,OCAMPO,27630,COAHUILA,06FNV050230008,08/Dec/2011,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES SOLIDOS Y LIQUIDOS Y MEJORADORES DE SUELO SOLIDOS
261,MANTENIMIENTO QUIMICO INDUSTRIAL S.A. DE C.V.,CARRETERA TLAJOMULCO-SAN MIGUEL CUYUTLAN Km. 9.5 No. 514,S/C,TLAJOMULCO DE ZUAIGA,45640,JALISCO,10P140970019,28/Oct/2010,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACION DE INSECTICIDAS LIQUIDOS
262,MAPIMI S.R.I.,PASEO DE LOS LOBOS No. 240,LOMAS DE LOURDES,SALTILLO,25090,COAHUILA,05FP050300003,07/Jul/2005,FORMULACION DE PLAGUICIDAS,FORMULACION DE FUNGICIDAS Y BACTERICIDAS LIQUIDOS
263,MAQUILADORA DE POLVOS S.A. DE C.V.,KM 5 CARRETERA LAS BOCAS,IZUCAR DE MATAMOROS,IZUCAR DE MATAMOROS,74400,PUEBLA,94324,,FABRICACION CON VENTA DE PRODUCTOS AGROQUIMICOS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
264,MARIO RUBEN HIDALGO ESCOTO/HIDALGO NUTRICION VEGETAL,Km. 183 CARRETERA PANAMERICANA,S/C,PEDRO ESCOBEDO,76700,QUERETARO,11NV220120007,15/Jun/2011,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES SOLIDOS
265,MATCOIL S.A. DE C.V.,AV SAN MIGUEL DE ALLENDE S/N,CD. INDUSTRIAL,IRAPUATO,36541,GUANAJUATO,94151,,ELABORACION DE TABLETAS Y ESPIRALES CONTRA MOSQUITOS PARA USO DOMESTICO,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
266,MEDERI LAB S.A.P.I. DE C.V.,PUERTO YAVAROS No. 2751,MIRAMAR,ZAPOPAN,45060,JALISCO,13P1412028,22/Oct/2013,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACIAN DE INSECTICIDAS DE ORIGEN QUAMICO LAQUIDOS.
267,METALURGICA MET-MEX PEAOLES S.A. DE C.V.,KM. 42 CARRETERA GOMEZ PALACIO-JIMENEZ,,MAPIMI,35230,DURANGO,07NV100130002,03/Oct/2014,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FABRICACION DE FERTILIZANTES SOLIDOS
