i>>?NAomero,Rubro,Estado,Municipio,Nombre del Area,Plazo de CertificaciA3n,Fecha de Certificacion,Superficie Certificada,Etnia a la que Pertenece,Ecosistemas,Observaciones
353,Asociaciones,Guanajuato,San Miguel de Allende,JardAn BotA!nico El Charco del Ingenio,99 aA+-os,8/25/2014,66.12,N/A,"Matorral XerA3filo, Bosque Espinoso, VegetaciA3n acuA!tica, Bosque de GalerAa",
354,Personas FAsicas,Oaxaca,MatAas Romero AvendaA+-o,Predio San JosA(c),50 aA+-os,9/17/2014,50,N/A,Selva Alta Perennifolia,
355,Asociaciones,Jalisco,BolaA+-os,Reserva Praderaivada Bosque Antiguo A.C,50 aA+-os,9/17/2014,373.25,N/A,"Selva Baja Caducifolia, Bosque de Pino-Encino, Bosque de Encino, Bosque de Pino",
356,Tierras de Uso ComAon,Oaxaca,San Marcos Arteaga,Cerro del Organal,15 aA+-os,9/23/2014,229,N/A,"Selva Baja Caducifolia, Matorral XerA3filo",
357,Asociaciones,Baja California,Ensenada,CostaSalvaje WildLands II,99 aA+-os,10/8/2014,"3,846.85",N/A,"Matorral XerA3filo, Sarco-Crasicaule, Matorral XerA3filo HalA3fito",
358,Asociaciones,Baja California,Ensenada,Reserva Natural Punta Mazo,99 aA+-os,10/20/2014,832.47,N/A,"Matorral de Dunas Costeras, Matorral Costero, Matorral HalA3fito, Pastizal HalA3fito y Marisma",
359,Asociaciones,Sinaloa,Angostura,Reserva EcolA3gica BahAa Santa MarAa II,99 aA+-os,10/30/2014,840.1,N/A,"Manglar, VegetaciA3n Halofita y VegetaciA3n Subacuatica.",
360,Asociaciones,Sinaloa,Angostura,Reserva EcolA3gica BahAa Santa MarAa I,99 aA+-os,12/8/2014,292.8,N/A,"Manglar, VegetaciA3n Halofita y VegetaciA3n Subacuatica.",
361,Federal,Sonora,Cananea,La Mariquita,99 aA+-os,3/31/2015,"2,195.89",N/A,"Pastizal-Mezquite, Tascate, BE, BP.",
362,Personas FAsicas,Chiapas,Ocozocuautla,Barranca Honda,15 aA+-os,6/8/2015,51.35,N/A,"Selva Alta Perennifolia, Bosque Mesofilo de MontaA+-a",
363,Personas FAsicas,Oaxaca,San Juan Guichicovi,Las Maravillas Lote 8,99 aA+-os,7/14/2015,127.71,N/A,"Selva Alta Perennifolia, Selva Mediana Perennifolia",
364,Personas FAsicas,Oaxaca,San Pedro Tapanatepec,El Diamante,30 aA+-os,7/27/2015,150,N/A,Selva Baja Caducifolia,
365,Personas FAsicas,Chiapas,Palenque,Rancho Pipos,50 aA+-os,8/18/2015,8.43,N/A,Selva Alta Perennifolia,
366,Personas FAsicas,Oaxaca,San Pedro Tapanatepec,Los Naranjos,30 aA+-os,8/19/2015,150,N/A,Selva Baja Caducifolia,
367,Comunidades,Aguascalientes,San Jose de Gracia,"Santuario para el Aguila Real en los Bienes Comunales de San JosA(c) de Gracia, Aguascalientes",30 aA+-os,8/7/2015,"6,170",N/A,"Bosque de Encino, Pastizal Natural, VegetaciA3n Riparia, Izotal, Bosque de Encino-Pino",
368,Personas FAsicas,Oaxaca,MatAas Romero AvendaA+-o,La Llorona,50 aA+-os,9/8/2015,50,N/A,Selva Alta Perennifolia,
369,Personas FAsicas,Coahuila,Saltillo,Area de Germoplasma Relevante Rancho La Puerta,15 aA+-os,10/7/2015,"1,379.78",N/A,"Sabana de ConAferas, Matorral DesA(c)rtico MicrA3filo, Matorral DesA(c)rtico Crasicaule, Pradera",
370,Personas FAsicas,Oaxaca,San Pedro Tapanatepec,La Herradura,30 aA+-os,2/29/2016,177,N/A,Selva Baja Caducifolia,
371,Asociaciones,Baja California,Ensenada,CostaSalvaje WildLands III,89 aA+-os,6/1/2016,6029.61,N/A,"Matorral XerA3filo, Sarco- Crasicaule, Matorral XerA3filo HalA3filo",
372,Sociedades,Quintana Roo,Felipe Carrillo Puerto,Canan Kax,80 aA+-os,6/6/2016,749.46,N/A,"Selva Mediana Subperennifolia, Selva Baja Inundable",
373,Sociedades,Baja California Sur,Loreto,Santa Martha,73 aA+-os,6/1/2016,479.02,N/A,Matorral Sarcocaule y VegetaciA3n Riparia,
374,Comunidades,Chiapas,Mapastepec,Las Nubes,15 aA+-os,6/3/2016,424.29,N/A,Selva Alta Perennifolia y Selva Mediana Subperennifolia,
375,Personas FAsicas,Chiapas,Tapachula,El Rosario,15 aA+-os,6/6/2016,49.75,N/A,Selva Baja Caducifolia,
376,Personas FAsicas,Quintana Roo,Puerto Morelos,Las Gatas,99 aA+-os,6/1/2016,61.37,N/A,Selva Mediana Subperennifolia ,
377,Personas FAsicas,MazatlA!n,Sinaloa,PacoA's Reserva de Flora y Fauna,99 aA+-os,2/19/2017,10.02,N/A,Selva Baja Caducifolia,
378,Asociaciones,Baja California Sur ,ComondAo,Reserva EcolA3gica Llanos de Magdalena III,88 aA+-os,1/19/2017,217.69,N/A,"Matorral XerA3filo HalA3fito, Matorral XerA3filo MicrA3filo, Matorral XerA3filo Sarco-Crasicaule y Manglar",
379,Asociaciones,Baja California,Ensenada,Reserva Natural Monte Ceniza,99 aA+-os,4/18/2017,803.41,N/A,Matorral RosetA3filo Costero y Pastizal HalA3filo,
380,Asociaciones,Sinaloa,Elota,Reserva El Chirimole,30 aA+-os,4/27/2017,469.11,N/A,Bosque de Encino y Selva Baja Caducifolia,
381,Asociaciones,Sinaloa,Angostura,Reserva EcolA3gica BahAa Santa MarAa III,87 aA+-os,5/4/2017,506.16,N/A,"Bosque Espinoso Caducifolio, Manglar, Pastizal HalA3fito y Humedal",
382,Personas FAsicas,Chiapas,El Parral,Gruta de Montecristo,15 aA+-os,1/19/2017, 7.08 ,N/A,Selva Baja Caducifolia,
383,PAoblico-Descentralizado Estatal,Chiapas,Jiquipilas,Los Bordos,50 aA+-os,2/14/2017," 3,153.93 ",N/A,"Selva Baja Caducifolia, Selva Mediana Subperennifolia, Sabana y Pastizal",
384,Personas FAsicas,Chiapas,Ocozocoautla de Espinosa,Finca El Corinto,99 aA+-os,5/15/2017, 499.40 ,N/A,"Selva Baja Espinosa Perennifolia, Selva Baja Espinosa Caducifolia y Selva Baja Subperennifolia.",
385,Personas FAsicas,Oaxaca,San Juan Guichicovi,Rancho GuaabA+-agob,30 aA+-os,1/30/2017, 116.65 ,N/A,Selva alta perennifolia.,
386,Tierras de Uso ComAon,Oaxaca,Santiago Ayuquililla,Las Palmillas de Cerro Verde,99 aA+-os,8/8/2017, 973.67 ,Mixteco,Bosque de encino y selva baja caducifolia.,
387,Comunidades,Oaxaca,Santiago Ayuquililla,Agua Buena,15 aA+-os,8/8/2017," 1,190.00 ",Mixteco,"Bosque de pino, bosque de pino-encino y bosque de encino.",
388,Tierras de Uso ComAon,Oaxaca,JuchitA!n de Zaragoza,Zona de Uso ComAon 1 y 2,30 aA+-os,8/8/2017," 2,178.31 ",Zapoteco,"Selva baja caducifolia, selva mediana subcaducifolia, selva mediana subperennifolia y enclaves de matorral xerA3filo, vegetaciA3n de zonas inundables y palmares.",
